DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3333.75,0,1,0.209,0.0,52.48529816,12.27560043,2.266200066,11.47029972,21.87339973
3333.9024,0,1,0.235,0.0,53.98920059,12.3657999,2.237299919,10.38160038,22.26049995
3334.512,0,1,0.09,0.0,43.57490158,12.26840019,2.174000025,7.980899811,17.72979927
3334.6644,0,1,0.181,0.0,50.74449921,12.29489994,2.244100094,7.589900017,23.40670013
3334.8168,0,1,0.402,0.0,61.74000168,12.34780026,2.352400065,7.028600216,25.94120026
3334.9692,0,1,0.672,0.0,70.16239929,12.36940002,2.369400024,7.278800011,34.34939957
3335.1216,0,1,0.638,0.0,69.27559662,12.38980007,2.372600079,8.252099991,33.73059845
3335.7312,0,1,0.293,0.0,57.04290009,12.29759979,2.225199938,9.489999771,25.55680084
3335.8836,0,1,0.281,0.0,56.47999954,12.29290009,2.253799915,6.885099888,27.10709953
3336.036,0,1,0.288,0.0,56.80580139,12.33339977,2.227400065,5.988999844,25.49620056
3336.1884,0,1,0.242,0.0,54.40660095,12.36079979,2.195100069,5.886799812,21.57290077
3336.3408,0,1,0.221,0.0,53.22060013,12.26900005,2.194700003,5.425199986,20.92959976
3336.9504,0,1,0.924,0.0,75.75720215,12.93309975,2.321700096,6.324800015,35.40679932
3337.1028,0,1,0.965,0.0,76.5428009,12.71500015,2.307800055,7.155099869,39.08269882
3337.2552,0,1,0.875,0.0,74.78130341,13.27340031,2.304699898,7.585400105,38.57820129
3337.4076,0,1,0.348,0.0,59.54470062,12.59459972,2.273699999,8.055999756,36.04460144
3337.56,0.021,0.134,0.276,0.0,56.19509888,12.9545002,2.176700115,8.633199692,24.46330071
3338.1696,0,1,0.23,0.0,53.7181015,12.32050037,2.284800053,5.646800041,16.83810043
3338.322,0,1,0.518,0.0,65.78340149,12.34090042,2.309999943,4.834300041,19.31049919
3338.4744,0,1,1.0,0.0,78.25379944,12.30160046,2.359999895,3.9368999,22.41390038
3338.6268,0,1,1.0,0.0,88.86769867,12.41310024,2.404500008,3.813499928,26.05550003
3338.7792,0,1,1.0,0.0,92.01899719,12.64099979,2.427099943,3.415899992,31.85129929
3375.9648,0,1,0.392,0.0,73.89969635,12.37460041,2.355400085,2.17689991,30.0862999
3376.1172,0,1,0.165,0.0,62.77959824,12.38150024,2.389499903,2.216399908,28.43180084
3376.422,0,1,0.005,0.0,47.53630066,12.40299988,2.354099989,2.027699947,22.49309921
3376.5744,0,1,0.0,0.0,37.52939987,12.42370033,2.320100069,2.015000105,22.24010086
3377.184,0.034,1,0.008,0.003,47.8667984,12.49100018,2.250499964,2.275399923,28.45660019
3377.3364,0.021,1,0.014,0.0,48.70569992,12.40789986,2.267199993,2.38560009,28.58379936
3377.4888,0,1,0.043,0.0,52.40119934,12.3888998,2.308599949,2.492000103,28.33349991
3377.6412,0,1,0.091,0.0,57.20479965,12.40960026,2.358999968,2.531500101,28.2276001
3377.7936,0,1,0.158,0.0,62.35179901,12.43029976,2.411799908,2.491100073,28.55649948
3378.4032,0,1,0.038,0.0,51.81019974,12.39379978,2.32310009,2.227999926,27.78109932
3378.5556,0,1,0.042,0.0,52.31600189,12.41450024,2.329900026,2.168600082,27.19239998
3378.708,0,1,0.056,0.0,53.78820038,12.41530037,2.322400093,2.219500065,28.43429947
3378.8604,0,1,0.048,0.0,52.90309906,12.45590019,2.31520009,2.28760004,29.02359963
3379.0128,0.009,1,0.002,0.0,46.99399948,12.5067997,2.280999899,2.407200098,30.08169937
3379.6224,0,1,0.182,0.0,63.89080048,12.62020016,2.36500001,2.445199966,25.66279984
3379.7748,0,1,0.351,0.0,72.30069733,13.02579975,2.403100014,2.404700041,26.38030052
3379.9272,0,1,1.0,0.0,92.19860077,12.85890007,2.404200077,2.284199953,28.14039993
3380.0796,0,1,1.0,0.0,95.76460266,12.82009983,2.425499916,2.283699989,29.94659996
3380.8416,0.019,0.135,1.0,0.0,90.35250092,12.38700008,2.270499945,2.361299992,29.86059952
3380.994,0.024,0.136,0.974,0.001,88.40670013,12.40769959,2.304699898,2.421000004,29.07209969
3381.1464,0,1,0.797,0.0,85.01300049,12.40849972,2.344300032,2.440299988,27.40920067
3381.2988,0,1,0.564,0.0,79.42030335,12.42920017,2.404299974,2.399800062,23.86030006
3381.4512,0,1,0.428,0.0,75.2009964,12.46790028,2.41779995,2.271500111,23.24379921
3382.0608,0,1,0.308,0.0,70.47660065,12.39360046,2.332099915,1.997400045,25.47439957
3382.2132,0,1,0.273,0.0,68.89659882,12.45400047,2.370599985,1.956900001,22.85390091
3382.3656,0,1,0.223,0.0,66.31520081,12.60109997,2.391900063,1.916399956,23.15979958
3382.518,0,1,0.157,0.0,62.30690002,12.67420006,2.369800091,1.835899949,24.38909912
3382.6704,0,1,0.132,0.0,60.52529907,12.57699966,2.307399988,1.835500002,27.52689934
3383.28,0.047,1,0.093,0.013,57.37739945,12.52120018,2.243099928,1.793499947,30.05929947
3383.4324,0.066,1,0.034,0.061,51.37440109,12.46049976,2.212599993,1.802600026,29.32620049
3383.5848,0.078,1,0.003,0.125,47.17169952,12.63570023,2.193500042,1.832499981,28.77099991
3383.7372,0.077,1,0.0,0.121,46.76670075,12.64099979,2.193799973,1.863199949,29.03280067
3383.8896,0.068,1,0.006,0.069,47.63600159,12.62189961,2.206199884,1.871600032,28.67250061
